stdextid,category,category_type,orgid,productcode
std_StdCat4_1720600432100_34_82,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat5_1720601795875_44_99,StdCat5,H2,perf-test8-alpha,perfprod110
std_StdCat4_1720600159342_32_78,StdCat4,H1,perf-test8-alpha,perfprod110
std_StdCat4_1720599341105_26_35,StdCat4,L,perf-test8-alpha,perfprod110
std_StdCat4_1720600295723_33_108,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat2_1720597022700_9_67,StdCat2,H1,perf-test3-alpha,perfprod110
std_StdCat5_1720601386727_41_46,StdCat5,H1,perf-test8-alpha,perfprod110
std_StdCat2_1720596068067_2_17,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat4_1720599750223_29_34,StdCat4,M,perf-test8-alpha,perfprod110
std_StdCat4_1720600159342_32_96,StdCat4,H1,perf-test8-alpha,perfprod110
std_StdCat3_1720597568201_13_7,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat3_1720598795602_22_71,StdCat3,H1,perf-test3-alpha,perfprod110
std_StdCat5_1720601113976_39_66,StdCat5,M,perf-test8-alpha,perfprod110
std_StdCat3_1720598522837_20_45,StdCat3,M,perf-test3-alpha,perfprod110
std_StdCat3_1720597568201_13_30,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat2_1720597431825_12_76,StdCat2,H2,perf-test3-alpha,perfprod110
std_StdCat2_1720596340811_4_5,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat5_1720601795875_44_129,StdCat5,H2,perf-test8-alpha,perfprod110
std_StdCat5_1720601250344_40_45,StdCat5,M,perf-test8-alpha,perfprod110
std_StdCat4_1720600432100_34_56,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat2_1720597431825_12_44,StdCat2,H2,perf-test3-alpha,perfprod110
std_StdCat4_1720599341105_26_23,StdCat4,L,perf-test8-alpha,perfprod110
std_StdCat4_1720599886586_30_5,StdCat4,M,perf-test8-alpha,perfprod110
std_StdCat4_1720599341105_26_7,StdCat4,L,perf-test8-alpha,perfprod110
std_StdCat5_1720600704845_36_18,StdCat5,L,perf-test8-alpha,perfprod110
std_StdCat3_1720598931969_23_70,StdCat3,H2,perf-test3-alpha,perfprod110
std_StdCat3_1720597568201_13_3,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat3_1720598931969_23_41,StdCat3,H2,perf-test3-alpha,perfprod110
std_StdCat5_1720601523105_42_34,StdCat5,H1,perf-test8-alpha,perfprod110
std_StdCat2_1720595931682_1_10,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat4_1720599750223_29_48,StdCat4,M,perf-test8-alpha,perfprod110
std_StdCat3_1720598250091_18_41,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat5_1720600977601_38_2,StdCat5,L,perf-test8-alpha,perfprod110
std_StdCat5_1720601523105_42_47,StdCat5,H1,perf-test8-alpha,perfprod110
std_StdCat4_1720600432100_34_146,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat5_1720600977601_38_49,StdCat5,L,perf-test8-alpha,perfprod110
std_StdCat3_1720598113718_17_3,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat3_1720598659219_21_28,StdCat3,H1,perf-test3-alpha,perfprod110
std_StdCat5_1720600841222_37_3,StdCat5,L,perf-test8-alpha,perfprod110
std_StdCat4_1720599341105_26_50,StdCat4,L,perf-test8-alpha,perfprod110
std_StdCat2_1720596204442_3_42,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat5_1720601659491_43_89,StdCat5,H2,perf-test8-alpha,perfprod110
std_StdCat2_1720595931682_1_36,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat5_1720601659491_43_39,StdCat5,H2,perf-test8-alpha,perfprod110
std_StdCat2_1720596068067_2_12,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat3_1720598659219_21_85,StdCat3,H1,perf-test3-alpha,perfprod110
std_StdCat5_1720601250344_40_9,StdCat5,M,perf-test8-alpha,perfprod110
std_StdCat2_1720596204442_3_10,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat2_1720597431825_12_2,StdCat2,H2,perf-test3-alpha,perfprod110
std_StdCat2_1720595931682_1_8,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat4_1720600432100_34_30,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat2_1720596613570_6_5,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat2_1720597295438_11_35,StdCat2,H2,perf-test3-alpha,perfprod110
std_StdCat3_1720598113718_17_46,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat2_1720597159074_10_28,StdCat2,H1,perf-test3-alpha,perfprod110
std_StdCat2_1720597431825_12_141,StdCat2,H2,perf-test3-alpha,perfprod110
std_StdCat4_1720600159342_32_3,StdCat4,H1,perf-test8-alpha,perfprod110
std_StdCat4_1720600432100_34_110,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat2_1720597159074_10_69,StdCat2,H1,perf-test3-alpha,perfprod110
std_StdCat5_1720601795875_44_64,StdCat5,H2,perf-test8-alpha,perfprod110
std_StdCat3_1720598931969_23_28,StdCat3,H2,perf-test3-alpha,perfprod110
std_StdCat3_1720598795602_22_53,StdCat3,H1,perf-test3-alpha,perfprod110
std_StdCat2_1720596477190_5_42,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat3_1720599068341_24_104,StdCat3,H2,perf-test3-alpha,perfprod110
std_StdCat2_1720597159074_10_56,StdCat2,H1,perf-test3-alpha,perfprod110
std_StdCat4_1720600295723_33_20,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat2_1720597431825_12_93,StdCat2,H2,perf-test3-alpha,perfprod110
std_StdCat2_1720596749933_7_8,StdCat2,M,perf-test3-alpha,perfprod110
std_StdCat5_1720601386727_41_23,StdCat5,H1,perf-test8-alpha,perfprod110
std_StdCat2_1720597022700_9_64,StdCat2,H1,perf-test3-alpha,perfprod110
std_StdCat3_1720598795602_22_57,StdCat3,H1,perf-test3-alpha,perfprod110
std_StdCat2_1720596613570_6_49,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat2_1720596477190_5_10,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat2_1720597159074_10_62,StdCat2,H1,perf-test3-alpha,perfprod110
std_StdCat2_1720596749933_7_74,StdCat2,M,perf-test3-alpha,perfprod110
std_StdCat4_1720600022964_31_82,StdCat4,H1,perf-test8-alpha,perfprod110
std_StdCat5_1720601386727_41_82,StdCat5,H1,perf-test8-alpha,perfprod110
std_StdCat5_1720601795875_44_145,StdCat5,H2,perf-test8-alpha,perfprod110
std_StdCat3_1720598522837_20_36,StdCat3,M,perf-test3-alpha,perfprod110
std_StdCat2_1720596749933_7_6,StdCat2,M,perf-test3-alpha,perfprod110
std_StdCat3_1720598795602_22_6,StdCat3,H1,perf-test3-alpha,perfprod110
std_StdCat4_1720599204720_25_38,StdCat4,L,perf-test8-alpha,perfprod110
std_StdCat3_1720598795602_22_95,StdCat3,H1,perf-test3-alpha,perfprod110
std_StdCat4_1720600022964_31_98,StdCat4,H1,perf-test8-alpha,perfprod110
std_StdCat5_1720601659491_43_33,StdCat5,H2,perf-test8-alpha,perfprod110
std_StdCat4_1720600159342_32_89,StdCat4,H1,perf-test8-alpha,perfprod110
std_StdCat4_1720600432100_34_114,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat2_1720596477190_5_31,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat5_1720601795875_44_90,StdCat5,H2,perf-test8-alpha,perfprod110
std_StdCat4_1720600022964_31_17,StdCat4,H1,perf-test8-alpha,perfprod110
std_StdCat2_1720596477190_5_34,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat4_1720599886586_30_23,StdCat4,M,perf-test8-alpha,perfprod110
std_StdCat3_1720598113718_17_39,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat4_1720600295723_33_60,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat5_1720600704845_36_50,StdCat5,L,perf-test8-alpha,perfprod110
std_StdCat4_1720599204720_25_4,StdCat4,L,perf-test8-alpha,perfprod110
std_StdCat4_1720599204720_25_46,StdCat4,L,perf-test8-alpha,perfprod110
std_StdCat3_1720598931969_23_124,StdCat3,H2,perf-test3-alpha,perfprod110
std_StdCat3_1720597840958_15_40,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat3_1720597977322_16_12,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat3_1720598931969_23_27,StdCat3,H2,perf-test3-alpha,perfprod110
std_StdCat5_1720601659491_43_31,StdCat5,H2,perf-test8-alpha,perfprod110
std_StdCat3_1720598522837_20_28,StdCat3,M,perf-test3-alpha,perfprod110
std_StdCat3_1720599068341_24_120,StdCat3,H2,perf-test3-alpha,perfprod110
std_StdCat3_1720599068341_24_130,StdCat3,H2,perf-test3-alpha,perfprod110
std_StdCat4_1720599886586_30_21,StdCat4,M,perf-test8-alpha,perfprod110
std_StdCat2_1720596613570_6_14,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat2_1720597295438_11_68,StdCat2,H2,perf-test3-alpha,perfprod110
std_StdCat2_1720596340811_4_41,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat3_1720598931969_23_14,StdCat3,H2,perf-test3-alpha,perfprod110
std_StdCat4_1720599750223_29_13,StdCat4,M,perf-test8-alpha,perfprod110
std_StdCat4_1720600022964_31_65,StdCat4,H1,perf-test8-alpha,perfprod110
std_StdCat2_1720597431825_12_22,StdCat2,H2,perf-test3-alpha,perfprod110
std_StdCat5_1720600841222_37_8,StdCat5,L,perf-test8-alpha,perfprod110
std_StdCat4_1720600432100_34_29,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat3_1720597840958_15_15,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat4_1720600022964_31_49,StdCat4,H1,perf-test8-alpha,perfprod110
std_StdCat5_1720600977601_38_9,StdCat5,L,perf-test8-alpha,perfprod110
std_StdCat5_1720601795875_44_134,StdCat5,H2,perf-test8-alpha,perfprod110
std_StdCat2_1720597431825_12_53,StdCat2,H2,perf-test3-alpha,perfprod110
std_StdCat3_1720598522837_20_21,StdCat3,M,perf-test3-alpha,perfprod110
std_StdCat5_1720600841222_37_28,StdCat5,L,perf-test8-alpha,perfprod110
std_StdCat2_1720597159074_10_64,StdCat2,H1,perf-test3-alpha,perfprod110
std_StdCat4_1720600159342_32_17,StdCat4,H1,perf-test8-alpha,perfprod110
std_StdCat5_1720601795875_44_36,StdCat5,H2,perf-test8-alpha,perfprod110
std_StdCat5_1720601659491_43_22,StdCat5,H2,perf-test8-alpha,perfprod110
std_StdCat5_1720600841222_37_49,StdCat5,L,perf-test8-alpha,perfprod110
std_StdCat3_1720599068341_24_135,StdCat3,H2,perf-test3-alpha,perfprod110
std_StdCat4_1720600432100_34_90,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat3_1720597568201_13_26,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat4_1720600432100_34_144,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat2_1720596068067_2_5,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat5_1720601523105_42_49,StdCat5,H1,perf-test8-alpha,perfprod110
std_StdCat4_1720600159342_32_79,StdCat4,H1,perf-test8-alpha,perfprod110
std_StdCat3_1720598931969_23_74,StdCat3,H2,perf-test3-alpha,perfprod110
std_StdCat5_1720600704845_36_4,StdCat5,L,perf-test8-alpha,perfprod110
std_StdCat4_1720599750223_29_38,StdCat4,M,perf-test8-alpha,perfprod110
std_StdCat3_1720598795602_22_72,StdCat3,H1,perf-test3-alpha,perfprod110
std_StdCat2_1720595931682_1_29,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat3_1720598795602_22_21,StdCat3,H1,perf-test3-alpha,perfprod110
std_StdCat3_1720598795602_22_42,StdCat3,H1,perf-test3-alpha,perfprod110
std_StdCat2_1720596340811_4_16,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat4_1720599477481_27_37,StdCat4,L,perf-test8-alpha,perfprod110
std_StdCat5_1720601386727_41_54,StdCat5,H1,perf-test8-alpha,perfprod110
std_StdCat2_1720597022700_9_11,StdCat2,H1,perf-test3-alpha,perfprod110
std_StdCat5_1720601523105_42_92,StdCat5,H1,perf-test8-alpha,perfprod110
std_StdCat2_1720597159074_10_25,StdCat2,H1,perf-test3-alpha,perfprod110
std_StdCat3_1720598113718_17_4,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat4_1720600022964_31_89,StdCat4,H1,perf-test8-alpha,perfprod110
std_StdCat5_1720601386727_41_6,StdCat5,H1,perf-test8-alpha,perfprod110
std_StdCat2_1720595931682_1_17,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat2_1720596477190_5_47,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat5_1720601795875_44_95,StdCat5,H2,perf-test8-alpha,perfprod110
std_StdCat2_1720596886322_8_21,StdCat2,M,perf-test3-alpha,perfprod110
std_StdCat5_1720601113976_39_21,StdCat5,M,perf-test8-alpha,perfprod110
std_StdCat5_1720601659491_43_32,StdCat5,H2,perf-test8-alpha,perfprod110
std_StdCat4_1720600432100_34_130,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat3_1720597840958_15_25,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat4_1720599204720_25_2,StdCat4,L,perf-test8-alpha,perfprod110
std_StdCat3_1720597977322_16_16,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat5_1720601113976_39_18,StdCat5,M,perf-test8-alpha,perfprod110
std_StdCat3_1720598931969_23_29,StdCat3,H2,perf-test3-alpha,perfprod110
std_StdCat5_1720601523105_42_58,StdCat5,H1,perf-test8-alpha,perfprod110
std_StdCat3_1720598931969_23_122,StdCat3,H2,perf-test3-alpha,perfprod110
std_StdCat5_1720600568465_35_25,StdCat5,L,perf-test8-alpha,perfprod110
std_StdCat3_1720598113718_17_7,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat5_1720601795875_44_69,StdCat5,H2,perf-test8-alpha,perfprod110
std_StdCat2_1720596749933_7_46,StdCat2,M,perf-test3-alpha,perfprod110
std_StdCat4_1720599750223_29_46,StdCat4,M,perf-test8-alpha,perfprod110
std_StdCat3_1720597977322_16_23,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat3_1720597840958_15_32,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat2_1720596068067_2_10,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat4_1720600295723_33_87,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat5_1720601795875_44_46,StdCat5,H2,perf-test8-alpha,perfprod110
std_StdCat3_1720598795602_22_16,StdCat3,H1,perf-test3-alpha,perfprod110
std_StdCat2_1720597295438_11_31,StdCat2,H2,perf-test3-alpha,perfprod110
std_StdCat3_1720598795602_22_43,StdCat3,H1,perf-test3-alpha,perfprod110
std_StdCat5_1720601523105_42_29,StdCat5,H1,perf-test8-alpha,perfprod110
std_StdCat5_1720600568465_35_41,StdCat5,L,perf-test8-alpha,perfprod110
std_StdCat5_1720601523105_42_81,StdCat5,H1,perf-test8-alpha,perfprod110
std_StdCat3_1720599068341_24_132,StdCat3,H2,perf-test3-alpha,perfprod110
std_StdCat4_1720599886586_30_7,StdCat4,M,perf-test8-alpha,perfprod110
std_StdCat5_1720601523105_42_9,StdCat5,H1,perf-test8-alpha,perfprod110
std_StdCat5_1720601659491_43_122,StdCat5,H2,perf-test8-alpha,perfprod110
std_StdCat3_1720597568201_13_17,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat5_1720601795875_44_40,StdCat5,H2,perf-test8-alpha,perfprod110
std_StdCat2_1720597431825_12_60,StdCat2,H2,perf-test3-alpha,perfprod110
std_StdCat5_1720600568465_35_30,StdCat5,L,perf-test8-alpha,perfprod110
std_StdCat2_1720597295438_11_48,StdCat2,H2,perf-test3-alpha,perfprod110
std_StdCat3_1720598931969_23_13,StdCat3,H2,perf-test3-alpha,perfprod110
std_StdCat4_1720600295723_33_8,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat4_1720600159342_32_23,StdCat4,H1,perf-test8-alpha,perfprod110
std_StdCat5_1720601795875_44_31,StdCat5,H2,perf-test8-alpha,perfprod110
std_StdCat3_1720598659219_21_23,StdCat3,H1,perf-test3-alpha,perfprod110
std_StdCat4_1720600432100_34_135,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat5_1720600841222_37_12,StdCat5,L,perf-test8-alpha,perfprod110
std_StdCat5_1720601250344_40_74,StdCat5,M,perf-test8-alpha,perfprod110
std_StdCat4_1720599886586_30_71,StdCat4,M,perf-test8-alpha,perfprod110
std_StdCat3_1720598250091_18_3,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat4_1720600295723_33_101,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat5_1720601113976_39_70,StdCat5,M,perf-test8-alpha,perfprod110
std_StdCat2_1720597022700_9_44,StdCat2,H1,perf-test3-alpha,perfprod110
std_StdCat3_1720598386469_19_3,StdCat3,M,perf-test3-alpha,perfprod110
std_StdCat3_1720598659219_21_44,StdCat3,H1,perf-test3-alpha,perfprod110
std_StdCat5_1720601386727_41_38,StdCat5,H1,perf-test8-alpha,perfprod110
std_StdCat4_1720600432100_34_69,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat2_1720596749933_7_28,StdCat2,M,perf-test3-alpha,perfprod110
std_StdCat2_1720597431825_12_140,StdCat2,H2,perf-test3-alpha,perfprod110
std_StdCat4_1720599613853_28_44,StdCat4,L,perf-test8-alpha,perfprod110
std_StdCat4_1720599750223_29_55,StdCat4,M,perf-test8-alpha,perfprod110
std_StdCat4_1720599886586_30_73,StdCat4,M,perf-test8-alpha,perfprod110
std_StdCat2_1720596477190_5_27,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat5_1720601386727_41_56,StdCat5,H1,perf-test8-alpha,perfprod110
std_StdCat4_1720600295723_33_43,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat5_1720601386727_41_83,StdCat5,H1,perf-test8-alpha,perfprod110
std_StdCat3_1720598931969_23_58,StdCat3,H2,perf-test3-alpha,perfprod110
std_StdCat4_1720600432100_34_98,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat4_1720599204720_25_14,StdCat4,L,perf-test8-alpha,perfprod110
std_StdCat4_1720600432100_34_41,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat5_1720601250344_40_49,StdCat5,M,perf-test8-alpha,perfprod110
std_StdCat3_1720598113718_17_14,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat4_1720600295723_33_109,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat4_1720599750223_29_73,StdCat4,M,perf-test8-alpha,perfprod110
std_StdCat2_1720595931682_1_19,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat2_1720597022700_9_75,StdCat2,H1,perf-test3-alpha,perfprod110
std_StdCat3_1720598659219_21_6,StdCat3,H1,perf-test3-alpha,perfprod110
std_StdCat5_1720601113976_39_30,StdCat5,M,perf-test8-alpha,perfprod110
std_StdCat5_1720601795875_44_42,StdCat5,H2,perf-test8-alpha,perfprod110
std_StdCat5_1720601523105_42_74,StdCat5,H1,perf-test8-alpha,perfprod110
std_StdCat2_1720596613570_6_8,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat2_1720596886322_8_50,StdCat2,M,perf-test3-alpha,perfprod110
std_StdCat2_1720597159074_10_34,StdCat2,H1,perf-test3-alpha,perfprod110
std_StdCat5_1720601795875_44_89,StdCat5,H2,perf-test8-alpha,perfprod110
std_StdCat3_1720598113718_17_24,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat3_1720599068341_24_148,StdCat3,H2,perf-test3-alpha,perfprod110
std_StdCat2_1720597431825_12_94,StdCat2,H2,perf-test3-alpha,perfprod110
std_StdCat2_1720596886322_8_53,StdCat2,M,perf-test3-alpha,perfprod110
std_StdCat4_1720599613853_28_37,StdCat4,L,perf-test8-alpha,perfprod110
std_StdCat4_1720600432100_34_39,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat5_1720600704845_36_29,StdCat5,L,perf-test8-alpha,perfprod110
std_StdCat4_1720599477481_27_13,StdCat4,L,perf-test8-alpha,perfprod110
std_StdCat4_1720600295723_33_124,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat5_1720601523105_42_89,StdCat5,H1,perf-test8-alpha,perfprod110
std_StdCat2_1720597022700_9_57,StdCat2,H1,perf-test3-alpha,perfprod110
std_StdCat5_1720601523105_42_40,StdCat5,H1,perf-test8-alpha,perfprod110
std_StdCat4_1720600022964_31_38,StdCat4,H1,perf-test8-alpha,perfprod110
std_StdCat5_1720601250344_40_30,StdCat5,M,perf-test8-alpha,perfprod110
std_StdCat2_1720596340811_4_20,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat5_1720601250344_40_27,StdCat5,M,perf-test8-alpha,perfprod110
std_StdCat4_1720600295723_33_1,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat4_1720599477481_27_33,StdCat4,L,perf-test8-alpha,perfprod110
std_StdCat5_1720600704845_36_42,StdCat5,L,perf-test8-alpha,perfprod110
std_StdCat3_1720598931969_23_85,StdCat3,H2,perf-test3-alpha,perfprod110
std_StdCat4_1720600432100_34_18,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat3_1720599068341_24_92,StdCat3,H2,perf-test3-alpha,perfprod110
std_StdCat4_1720600295723_33_144,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat3_1720598795602_22_33,StdCat3,H1,perf-test3-alpha,perfprod110
std_StdCat2_1720596068067_2_6,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat2_1720597159074_10_100,StdCat2,H1,perf-test3-alpha,perfprod110
std_StdCat3_1720599068341_24_142,StdCat3,H2,perf-test3-alpha,perfprod110
std_StdCat5_1720601250344_40_35,StdCat5,M,perf-test8-alpha,perfprod110
std_StdCat4_1720599477481_27_10,StdCat4,L,perf-test8-alpha,perfprod110
std_StdCat4_1720600295723_33_92,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat4_1720600295723_33_26,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat2_1720597295438_11_102,StdCat2,H2,perf-test3-alpha,perfprod110
std_StdCat3_1720598795602_22_58,StdCat3,H1,perf-test3-alpha,perfprod110
std_StdCat3_1720598250091_18_44,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat2_1720597295438_11_95,StdCat2,H2,perf-test3-alpha,perfprod110
std_StdCat4_1720599750223_29_14,StdCat4,M,perf-test8-alpha,perfprod110
std_StdCat2_1720596613570_6_42,StdCat2,L,perf-test3-alpha,perfprod110
std_StdCat2_1720597431825_12_41,StdCat2,H2,perf-test3-alpha,perfprod110
std_StdCat2_1720597159074_10_97,StdCat2,H1,perf-test3-alpha,perfprod110
std_StdCat4_1720600432100_34_133,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat2_1720597295438_11_4,StdCat2,H2,perf-test3-alpha,perfprod110
std_StdCat4_1720599886586_30_67,StdCat4,M,perf-test8-alpha,perfprod110
std_StdCat3_1720598386469_19_27,StdCat3,M,perf-test3-alpha,perfprod110
std_StdCat4_1720599204720_25_8,StdCat4,L,perf-test8-alpha,perfprod110
std_StdCat4_1720599886586_30_63,StdCat4,M,perf-test8-alpha,perfprod110
std_StdCat2_1720597159074_10_49,StdCat2,H1,perf-test3-alpha,perfprod110
std_StdCat3_1720598113718_17_36,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat3_1720597704578_14_11,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat3_1720598931969_23_64,StdCat3,H2,perf-test3-alpha,perfprod110
std_StdCat2_1720597295438_11_36,StdCat2,H2,perf-test3-alpha,perfprod110
std_StdCat3_1720598659219_21_47,StdCat3,H1,perf-test3-alpha,perfprod110
std_StdCat5_1720601523105_42_39,StdCat5,H1,perf-test8-alpha,perfprod110
std_StdCat4_1720600432100_34_68,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat5_1720601113976_39_33,StdCat5,M,perf-test8-alpha,perfprod110
std_StdCat4_1720600432100_34_118,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat4_1720599477481_27_3,StdCat4,L,perf-test8-alpha,perfprod110
std_StdCat2_1720597022700_9_87,StdCat2,H1,perf-test3-alpha,perfprod110
std_StdCat5_1720601523105_42_52,StdCat5,H1,perf-test8-alpha,perfprod110
std_StdCat3_1720598522837_20_68,StdCat3,M,perf-test3-alpha,perfprod110
std_StdCat3_1720598250091_18_31,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat4_1720600295723_33_132,StdCat4,H2,perf-test8-alpha,perfprod110
std_StdCat4_1720599204720_25_7,StdCat4,L,perf-test8-alpha,perfprod110
std_StdCat5_1720600568465_35_9,StdCat5,L,perf-test8-alpha,perfprod110
std_StdCat2_1720597159074_10_31,StdCat2,H1,perf-test3-alpha,perfprod110
std_StdCat5_1720601113976_39_2,StdCat5,M,perf-test8-alpha,perfprod110
std_StdCat2_1720597022700_9_63,StdCat2,H1,perf-test3-alpha,perfprod110
std_StdCat4_1720599477481_27_21,StdCat4,L,perf-test8-alpha,perfprod110
std_StdCat3_1720598250091_18_11,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat3_1720597977322_16_6,StdCat3,L,perf-test3-alpha,perfprod110
std_StdCat3_1720598931969_23_55,StdCat3,H2,perf-test3-alpha,perfprod110
